Point,temp,fac
1,125,0.5302189214884822
2,112.03703703703704,0.7085381025774948
3,100.07122507122506,0.9681807150957994
4,85.61253561253562,1.3833118756041924
5,74.14529914529915,1.9328517862900185
6,62.67806267806267,2.7370844523618167
7,50.21367521367522,4.089049189189715
8,37.749287749287745,6.246571307167913
9,24.786324786324784,9.977724970890343
10,13.81766381766382,15.242313709199241
11,0.3561253561253537,26.61838130185135
12,-11.111111111111114,44.06236681906819
13,-20.085470085470085,67.31117762670893
14,-25.56980056980057,87.96500806770877
15,-40.028490028490026,189.444442014813
