core;Aemin(mm2);Le(mm);Ve(mm3);Bsat mT;Loss (W/set);K1;K2;µe;Al(nH);price by set ;where ;link to  the datasheet ;link
E64/10/50-3C95;519;79.9;40700;330;20;;;;17000;11.05;digikey;https://www.ferroxcube.com/upload/media/product/file/Pr_ds/E64_10_50.pdf;https://www.digikey.fr/fr/products/detail/ferroxcube/E64-10-50-3C95/7041517
ELP 43/10/28 with I 43/4/28 N87;217;50.8;11430;350;7.8;390;-0.784;1480;850;2.61;mouser;https://www.tdk-electronics.tdk.com/inf/80/db/fer/elp_43_10_28.pdf;https://eu.mouser.com/ProductDetail/EPCOS-TDK/B66461G0000X187?qs=%2FsLciWRBLmDhFVdTQqbj0g%3D%3D
ELP 64/10/50 with I 64/5/50 N87;512;69.7;36200;300;4.8;835;-0.79;1450;14000;;;;https://eu.mouser.com/ProductDetail/EPCOS-TDK/B66295G0000X197?qs=%2FsLciWRBLmCBVbxfg5%252Byyw%3D%3D
ELP 64/10/50 with ELP 64/10/50 N95;518;79.9;41500;320;5.1;;;1880;15500;14.52;mouser;https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/elp_64_10_50.pdf;https://eu.mouser.com/ProductDetail/EPCOS-TDK/B66295G0000X197?qs=%2FsLciWRBLmCBVbxfg5%252Byyw%3D%3D
ELP 64/10/50 with ELP 64/10/50 N87;518;79.9;41500;300;5.5;820;-0.767;1490;12500;11.27;mouser;https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/elp_64_10_50.pdf;https://eu.mouser.com/ProductDetail/EPCOS-TDK/B66295G0000X187?qs=%2FsLciWRBLmBLujsByCcKRw%3D%3D
E64/10/50 + PLT64/50/5 3C95;519;69.7;35500;330;17;;;;18500;;;https://www.ferroxcube.com/upload/media/product/file/Pr_ds/E64_10_50_PLT64_50_5.pdf;
ER64/13/51-3C92 3C95;507;93;52600;330;25;;;;17100;19.62;digikey;https://www.ferroxcube.com/upload/media/product/file/Pr_ds/ER64_13_51.pdf;https://www.digikey.fr/fr/products/detail/ferroxcube/ER64-13-51-3C92/7041559
E100/60/28 N87;690;274;201390;;4.7;;;1930;6500;17.4;mouser;https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/e_100_60_28.pdf;https://eu.mouser.com/ProductDetail/EPCOS-TDK/B66894G0000X187?qs=xhbEVWpZdWfPLUZM0ybhFw%3D%3D
ELP 102/20/38 with ELP 102/20/38 N87;524.5;147.6;79410;;11;;;1790;8200;12.88;mouser;;https://www.mouser.lu/ProductDetail/EPCOS-TDK/B66297G0000X187?qs=xhbEVWpZdWfeidEJw8N%2FfQ%3D%3D
ELP 102/20/38 with ELP 102/20/38 N97;524.5;147.6;79410;;9.7;;;1855;8500;14.07;mouser;https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/elp_102_20_38.pdf;https://www.mouser.lu/ProductDetail/EPCOS-TDK/B66297G0000X197?qs=xhbEVWpZdWedk5VzmMor8g%3D%3D
ELP 102/20/38 with I 102/7/38 N97;534.2;121.2;67745;;8;;;1740;9600;;;https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/elp_102_20_38.pdf;
E 80/38/20 N95;388;184;71800;330;8;;;1680;4500;4.33;mouser;https://www.tdk-electronics.tdk.com/inf/80/db/fer/e_80_38_20.pdf;https://www.mouser.fr/ProductDetail/EPCOS-TDK/B66375G0000X187?qs=%2FsLciWRBLmDdTejmxsYKaQ%3D%3D
