Point,Freq_Mhz,Z_ohm
1,0.2027499134524976,533.4219823866241
2,0.4074777011079449,766.2356436813363
3,0.6064918311030455,838.4881592555574
4,0.8123105552478318,902.7126175437539
5,1.0113348014416574,995.0352763330363
6,2.039144748652687,1263.1723253745795
7,4.098181845103517,1367.5370700928988
8,6.099754182061737,1251.1302394455427
9,8.10372236727135,1154.7935520132478
10,10.171437384966536,1094.5831223680639
11,20.112944656747235,877.8255756454006
12,39.771226765184316,681.1381721377988
13,60.164448043539124,556.7032842044182
