CH2_AMPLITUDE,CH2_RMS,CH4_AMPLITUDE,CH4_FREQUENCY
6.88E0,2.46E0,2.76E-2,5.0492E1
6.96E0,2.491E0,5.62E-2,1.0154E2
7.0E0,2.5084E0,1.128E-1,2.04E2
7.06E0,2.5142E0,2.19E-1,4.0858E2
7.04E0,2.48E0,3.74E-1,7.9856E2
7.08E0,2.5315E0,4.38E-1,1.0146E3
7.04E0,2.5273E0,5.92E-1,2.0433E3
7.06E0,2.5299E0,6.72E-1,5.4083E3
7.02E0,2.5453E0,6.8E-1,1.0335E4
7.04E0,2.5601E0,6.82E-1,1.9595E4
7.02E0,2.5071E0,6.8E-1,8.0977E4
7.04E0,2.5827E0,6.82E-1,1.9682E5
7.1E0,2.5228E0,7.06E-1,4.8241E5
7.1E0,2.5258E0,7.2E-1,1.0446E6
6.68E0,2.4105E0,6.8E-1,2.2055E6
