Mouser No:;Mfr. No:;Desc.:;Customer No;Order Qty.;Ext. (EUR);Price (EUR);Line total (€)
75-MKP1848E54070JK2;MKP1848E54070JK2;Film Capacitors Film Capacitors MKP 1848e 4uF +/-5% 700V=;;1;€ 1,47;€ 1,47;€ 1,47
871-B66297KX197;B66297K0000X197;Ferrite Cores & Accessories Ferrite Cores & Accessories I102/7/37.5 N97 9600 + 25- 25%;;1;€ 11,21;€ 11,21;€ 11,21
871-B66297GX197;B66297G0000X197;Ferrite Cores & Accessories Ferrite Cores & Accessories ELP102/20.3/37.5 N97 8500 + 25- 25%;;1;€ 12,22;€ 12,22;€ 12,22
871-B66291G1000X187;B66291G1000X187;Ferrite Cores & Accessories Ferrite Cores & Accessories ELP43/10/28 N87 gap 1.0+-0.05 mm;;2;€ 4,21;€ 4,21;€ 8,42
512-FDH055N15A;FDH055N15A;MOSFETs MOSFETs 150V N-Channel PowerTrench MOSFET;;2;€ 5,65;€ 5,65;€ 11,30
871-B40910A8127M000;B40910A8127M000;Aluminium Electrolytic Capacitors - SMD Aluminium Electrolytic Capacitors - SMD 63VDC 120uF (M) d10x125 mm SMD HP;;6;€ 2,29;€ 2,29;€ 13,74
871-B32672L8153J;B32672L8153J;Film Capacitors Film Capacitors Film Cap 15NF 5% 700VAC MKP BOXED;;10;€ 0,35;€ 0,35;€ 3,45
726-IPW60R037CM8XKSA;IPW60R037CM8XKSA1;MOSFETs MOSFETs HIGH POWER_NEW;;2;€ 6,11;€ 6,11;€ 12,22
;;;;;;;
Total ;;;;;;;€ 74,03
;;;;;;;
;;;;;;;
Payement ;;;;;;;
Merchandise Total: 74,03 €;;;;;;;
Shipping Total: 0,00 €;;;;;;;
VAT Total: 14,81 €;;;;;;;
Order Total: 88,84 €;;;;;;;
